sample	path	Group
M019492	example-configs/arg-nz-ca-trout/data/M019492	Arg-South
M019494	example-configs/arg-nz-ca-trout/data/M019494	Arg-South
M019502	example-configs/arg-nz-ca-trout/data/M019502	Arg-South
M019512	example-configs/arg-nz-ca-trout/data/M019512	Arg-South
M019514	example-configs/arg-nz-ca-trout/data/M019514	Arg-South
M019515	example-configs/arg-nz-ca-trout/data/M019515	Arg-South
M019516	example-configs/arg-nz-ca-trout/data/M019516	Arg-South
M019519	example-configs/arg-nz-ca-trout/data/M019519	Arg-South
M019528	example-configs/arg-nz-ca-trout/data/M019528	Arg-South
M019530	example-configs/arg-nz-ca-trout/data/M019530	Arg-South
M019535	example-configs/arg-nz-ca-trout/data/M019535	Arg-North
M019536	example-configs/arg-nz-ca-trout/data/M019536	Arg-North
M019537	example-configs/arg-nz-ca-trout/data/M019537	Arg-North
M019538	example-configs/arg-nz-ca-trout/data/M019538	Arg-North
M019554	example-configs/arg-nz-ca-trout/data/M019554	Arg-North
M019558	example-configs/arg-nz-ca-trout/data/M019558	Arg-North
M019567	example-configs/arg-nz-ca-trout/data/M019567	Arg-North
M019572	example-configs/arg-nz-ca-trout/data/M019572	Arg-North
M019573	example-configs/arg-nz-ca-trout/data/M019573	Arg-North
M019580	example-configs/arg-nz-ca-trout/data/M019580	Arg-North
M019597	example-configs/arg-nz-ca-trout/data/M019597	Arg-South
M019605	example-configs/arg-nz-ca-trout/data/M019605	Arg-South
M019609	example-configs/arg-nz-ca-trout/data/M019609	Arg-South
M019618	example-configs/arg-nz-ca-trout/data/M019618	Arg-South
M019644	example-configs/arg-nz-ca-trout/data/M019644	Arg-South
M019651	example-configs/arg-nz-ca-trout/data/M019651	Arg-South
M019657	example-configs/arg-nz-ca-trout/data/M019657	Arg-South
M019695	example-configs/arg-nz-ca-trout/data/M019695	Arg-South
M019700	example-configs/arg-nz-ca-trout/data/M019700	Arg-South
M019704	example-configs/arg-nz-ca-trout/data/M019704	Arg-South
M019802	example-configs/arg-nz-ca-trout/data/M019802	Arg-South
M019825	example-configs/arg-nz-ca-trout/data/M019825	Arg-South
M019499	example-configs/arg-nz-ca-trout/data/M019499	Arg-South
M019510	example-configs/arg-nz-ca-trout/data/M019510	Arg-South
M019513	example-configs/arg-nz-ca-trout/data/M019513	Arg-South
M019533	example-configs/arg-nz-ca-trout/data/M019533	Arg-South
M019576	example-configs/arg-nz-ca-trout/data/M019576	Arg-North
M019594	example-configs/arg-nz-ca-trout/data/M019594	Arg-South
M128969	example-configs/arg-nz-ca-trout/data/M128969	CA
M128971	example-configs/arg-nz-ca-trout/data/M128971	CA
M129492	example-configs/arg-nz-ca-trout/data/M129492	CA
M129495	example-configs/arg-nz-ca-trout/data/M129495	CA
M129366	example-configs/arg-nz-ca-trout/data/M129366	CA-McCloud
M129368	example-configs/arg-nz-ca-trout/data/M129368	CA-McCloud
M129370	example-configs/arg-nz-ca-trout/data/M129370	CA-McCloud
M129371	example-configs/arg-nz-ca-trout/data/M129371	CA-McCloud
M133802	example-configs/arg-nz-ca-trout/data/M133802	CA
M133804	example-configs/arg-nz-ca-trout/data/M133804	CA
M133806	example-configs/arg-nz-ca-trout/data/M133806	CA
M133808	example-configs/arg-nz-ca-trout/data/M133808	CA
M132910	example-configs/arg-nz-ca-trout/data/M132910	CA
M132906	example-configs/arg-nz-ca-trout/data/M132906	CA
M132903	example-configs/arg-nz-ca-trout/data/M132903	CA
M132898	example-configs/arg-nz-ca-trout/data/M132898	CA
M019404	example-configs/arg-nz-ca-trout/data/M019404	CA-Klamath
M079916	example-configs/arg-nz-ca-trout/data/M079916	CA-Klamath
M132831	example-configs/arg-nz-ca-trout/data/M132831	CA-Klamath
M132856	example-configs/arg-nz-ca-trout/data/M132856	CA-Klamath